Produto,Quantidade (L.)
VINHO DE MESA,206.969.571
Tinto,173.964.776
Rosado,1.738.134
Branco,31.266.661
VINHO FINO DE MESA,22.469.950
Tinto,15.443.016
Rosado,150.806
Branco,6.876.128
VINHO FRIZANTE,1.605.767
VINHO ORGÂNICO,-
VINHO ESPECIAL,239
Tinto,239
Rosado,-
Branco,-
ESPUMANTES,14.889.147
Espumante  Moscatel,3.610.289
Espumante,11.278.858
Espumante Orgânico,-
SUCO DE UVAS,53.832.204
Suco Natural Integral,-
Suco Adoçado,-
Suco Reprocessado/reconstituido,-
Suco Orgânico,-
Outros sucos de uvas,-
SUCO DE UVAS CONCENTRADO,33.529.324
OUTROS PRODUTOS COMERCIALIZADOS,30.316.511
Outros vinhos (sem informação detalhada),-
"Agrin (fermentado, acetico misto)",5.311.258
Aguardente de vinho 50°gl,-
Alcool vinico,-
Bagaceira (graspa),14.710
Base champenoise champanha,42.671
Base charmat champanha,46.518
Base espumante moscatel,25.921
Bebida de uva,261.223
Borra líquida,21.980
Borra seca,89.000
Brandy (conhaque),5.495
Cooler,4.258.333
Coquetel com vinho,907.199
Destilado de vinho,30.000
Filtrado doce,7.108.554
Jeropiga,55.050
Mistelas,5.097
Mosto concentrado,-
Mosto de uva,29.304
Mosto sulfitado,-
Nectar de uva,5.644.055
Outros produtos,484.205
Polpa de uva,1.995.839
Preparado líquido para refresco,613.313
Refrigerante +50% suco,-
Sangria,73.590
Vinagre balsamico,102.259
Vinagre duplo,1.208.132
Vinagre simples,4.027.358
Vinho acetificado,2.110.450
Vinho base para espumantes,-
Vinho composto,510.914
Vinho licoroso,645.341
Vinho leve,-
Vinho gaseificado,-
Total,363.612.713
