Nome,Quantidade,Subnome,Subquantidade
TINTAS,*,,
,,Bacarina,*
,,Bailey,*
,,Bordo,*
,,Bourdin (S),*
,,BRS Carmen,*
,,BRS Cora,*
,,BRS Magna,*
,,BRS Margot,*
,,BRS Morena,*
,,BRS Rúbea,*
,,BRS Violeta,*
,,BRS Vitória,*
,,Champagnon (Champanheta),*
,,Coleções,*
,,Concord,*
,,Concord clone 30,*
,,Couderc,*
,,Cynthiana(1),*
,,Herbemont,*
,,IAC 138022,*
,,Isabel,*
,,Isabel Precoce,*
,,Jacquez,*
,,Kyoko,*
,,Landot,*
,,Mistura de uvas americanas tinto,*
,,Oberlin,*
,,Othello,*
,,Paco,*
,,Patricia,*
,,Seibel,*
,,Seibel 2 (seibeleto),*
,,Seyve Willard (Tinta),*
,,Vênus,*
BRANCAS E ROSADAS,*,,
,,Baco,*
,,Bokay,*
,,BRS Clara,*
,,BRS Lorena,*
,,Couderc 13,*
,,Delaware,*
,,Dona Zillá,*
,,Dut Chess,*
,,Goethe,*
,,IAC,*
,,Juliana,*
,,Martha,*
,,Mistura de uvas americanas,*
,,Moscato Embrapa,*
,,Niagara,*
,,Niagara Branca,*
,,Niagara Rosada,*
,,Poloske,*
,,Seleções,*
,,Seyve Villard,*
,,Seyve Villard 5276,*
,,Seyve Villard 12375,*
,,Tardia de Caxias,*
,,Outras(2),*
Total,0,,
